,Stock,Company Name,Sector,Shares Held or Principal Amt,ESG Risk,Market Value,% of Portfolio
1194,PRGS,Progress Software Corporation,INFORMATION TECHNOLOGY,"8,133,426",NaN,"$383,004,000",0.01
1195,ALGT,Allegiant Travel Company,TRANSPORTS,"2,355,920",NaN,"$382,578,000",0.01
1196,ACLS,Axcelis Technologies Inc.,INFORMATION TECHNOLOGY,"5,059,666",NaN,"$382,156,000",0.01
1197,AVT,Avnet Inc.,INFORMATION TECHNOLOGY,"9,393,961",NaN,"$381,301,000",0.01
1198,NOVA,NaN,ENERGY,"16,530,455",NaN,"$381,192,000",0.01
1199,ORA,Ormat Technologies Inc.,UTILITIES AND TELECOMMUNICATIONS,"4,650,385",NaN,"$380,541,000",0.01
1200,EVTC,Evertec Inc.,FINANCE,"9,289,037",NaN,"$380,201,000",0.01
1201,AAWW,Atlas Air Worldwide Holdings,TRANSPORTS,"4,401,112",NaN,"$380,125,000",0.01
1202,WIX,Wix.com Ltd.,COMMUNICATIONS,"3,630,306",NaN,"$379,222,000",0.01
1203,HGV,Hilton Grand Vacations Inc.,CONSUMER DISCRETIONARY,"7,285,125",NaN,"$378,900,000",0.01
1204,GFS,NaN,INFORMATION TECHNOLOGY,"6,069,264",NaN,"$378,843,000",0.01
1205,CSGS,CSG Systems International Inc.,COMMUNICATIONS,"5,941,468",NaN,"$377,699,000",0.01
1206,MTG,MGIC Investment Corporation,FINANCE,"27,872,353",NaN,"$377,670,000",0.01
1207,EVR,Evercore Inc. Class A,FINANCE,"3,388,082",NaN,"$377,161,000",0.01
1208,HAE,Haemonetics Corporation,HEALTH CARE,"5,951,725",NaN,"$376,267,000",0.01
1209,CRC,California Resources Corporation,ENERGY,"8,409,151",NaN,"$376,142,000",0.01
1210,UNFI,United Natural Foods Inc.,CONSUMER STAPLES,"9,056,093",NaN,"$374,471,000",0.01
1211,LBTYK,Liberty Global plc,COMMUNICATIONS,"14,445,805",NaN,"$374,293,000",0.01
1212,AKR,Acadia Realty Trust,REAL ESTATE,"17,252,219",NaN,"$373,855,000",0.01
1213,BHF,Brighthouse Financial Inc.,FINANCE,"7,606,730",NaN,"$373,642,578",0.01
1214,COLB,Columbia Banking System Inc.,FINANCE,"11,571,436",NaN,"$373,410,000",0.01
1215,MYGN,Myriad Genetics Inc.,HEALTH CARE,"14,797,829",NaN,"$372,906,000",0.01
1216,ICUI,ICU Medical Inc.,HEALTH CARE,"1,674,007",NaN,"$372,702,000",0.01
1217,VNT,NaN,INDUSTRIALS,"14,668,635",NaN,"$372,436,000",0.01
1218,KWR,Quaker Chemical Corporation,MATERIALS,"2,152,418",NaN,"$371,960,000",0.01
1219,GSG,iShares GSCI Commodity-Indexed Trust Fund,FINANCE,"16,409,917",NaN,"$371,684,000",0.01
1220,THRM,Gentherm Inc,CONSUMER DISCRETIONARY,"5,083,926",NaN,"$371,330,000",0.01
1221,LQDH,NaN,FINANCE,"4,102,107",NaN,"$370,256,178",0.01
1222,NXRT,NexPoint Residential Trust Inc.,REAL ESTATE,"4,095,519",NaN,"$369,865,000",0.01
1223,WAL,Western Alliance Bancorporation (DE),FINANCE,"4,465,735",NaN,"$369,853,000",0.01
1224,XLK,SPDR Select Sector Fund - Technology,INFORMATION TECHNOLOGY,"2,325,816",NaN,"$369,642,000",0.01
1225,UMPQ,Umpqua Holdings Corporation,FINANCE,"19,583,446",NaN,"$369,344,000",0.01
1226,BCO,Brinks Company (The),INDUSTRIALS,"5,426,953",NaN,"$369,033,000",0.01
1227,SCL,Stepan Company,MATERIALS,"3,733,939",NaN,"$368,951,000",0.01
1228,MP,NaN,FINANCE,"6,398,647",NaN,"$366,898,000",0.01
1229,CNO,CNO Financial Group Inc.,FINANCE,"14,615,743",NaN,"$366,710,000",0.01
1230,CPK,Chesapeake Utilities Corporation,UTILITIES AND TELECOMMUNICATIONS,"2,650,767",NaN,"$365,170,000",0.01
1231,MED,MEDIFAST INC,CONSUMER STAPLES,"2,134,513",NaN,"$364,532,000",0.01
1232,AN,AutoNation Inc.,CONSUMER DISCRETIONARY,"3,658,821",NaN,"$364,345,000",0.01
1233,SNX,Synnex Corporation,INFORMATION TECHNOLOGY,"3,527,856",NaN,"$364,110,000",0.01
1234,THO,Thor Industries Inc.,CONSUMER DISCRETIONARY,"4,626,432",NaN,"$364,100,000",0.01
1235,AAT,American Assets Trust Inc.,REAL ESTATE,"9,597,565",NaN,"$363,652,000",0.01
1236,KN,Knowles Corporation,INFORMATION TECHNOLOGY,"16,881,319",NaN,"$363,455,000",0.01
1237,AVAV,AeroVironment Inc.,INDUSTRIALS,"3,860,339",NaN,"$363,412,000",0.01
1238,NTR,Nutrien Ltd.,MATERIALS,"3,490,036",NaN,"$362,929,000",0.01
1239,EPAY,Bottomline Technologies Inc.,INFORMATION TECHNOLOGY,"6,401,678",NaN,"$362,847,000",0.01
1240,QDEL,Quidel Corporation,HEALTH CARE,"3,226,212",NaN,"$362,820,000",0.01
1241,FULT,Fulton Financial Corporation,FINANCE,"21,821,468",NaN,"$362,670,000",0.01
1242,KEX,Kirby Corporation,TRANSPORTS,"5,021,043",NaN,"$362,470,000",0.01
1243,PLXS,Plexus Corp.,INFORMATION TECHNOLOGY,"4,425,537",NaN,"$362,052,000",0.01
1244,WWE,World Wrestling Entertainment Inc. Class A,COMMUNICATIONS,"5,794,108",NaN,"$361,783,000",0.01
1245,NEOG,Neogen Corporation,HEALTH CARE,"11,697,242",NaN,"$360,742,000",0.01
1246,WMS,Advanced Drainage Systems Inc.,INDUSTRIALS,"3,035,221",NaN,"$360,615,000",0.01
1247,ZWS,NaN,INDUSTRIALS,"10,166,448",NaN,"$359,892,000",0.01
1248,CLVT,NaN,FINANCE,"21,453,033",NaN,"$359,553,000",0.01
1249,EYE,National Vision Holdings Inc.,CONSUMER DISCRETIONARY,"13,041,160",NaN,"$358,631,900",0.01
1250,EBS,Emergent Biosolutions Inc.,HEALTH CARE,"8,731,904",NaN,"$358,533,000",0.01
1251,AM,Antero Midstream Partners LP representing limited partner interests,ENERGY,"32,917,158",NaN,"$357,809,000",0.01
1252,JJSF,J & J Snack Foods Corp.,CONSUMER STAPLES,"2,306,255",NaN,"$357,699,000",0.01
1253,WIRE,Encore Wire Corporation,INDUSTRIALS,"3,124,572",NaN,"$356,420,000",0.01
1254,CELH,Celsius Holdings Inc.,ENERGY,"6,435,150",NaN,"$355,091,000",0.01
1255,APLE,Apple Hospitality REIT Inc.,REAL ESTATE,"19,741,431",NaN,"$354,754,000",0.01
1256,QGEN,Qiagen N.V.,HEALTH CARE,"7,235,295",NaN,"$354,530,000",0.01
1257,SSTK,Shutterstock Inc.,COMMUNICATIONS,"3,792,771",NaN,"$353,030,000",0.01
1258,AAON,AAON Inc.,INDUSTRIALS,"6,321,522",NaN,"$352,300,000",0.01
1259,WFCPRL,NaN,FINANCE,"265,882",NaN,"$352,293,000",0.01
1260,BBBY,Bed Bath & Beyond Inc.,CONSUMER DISCRETIONARY,"15,593,090",NaN,"$351,314,000",0.01
1261,UCTT,Ultra Clean Holdings Inc.,INFORMATION TECHNOLOGY,"8,270,800",NaN,"$350,599,000",0.01
1262,TKR,Timken Company (The),INDUSTRIALS,"5,773,011",NaN,"$350,420,000",0.01
1263,BRC,Brady Corporation,INDUSTRIALS,"7,569,067",NaN,"$350,221,000",0.01
1264,GMS,GMS Inc.,CONSUMER DISCRETIONARY,"7,007,512",NaN,"$348,763,000",0.01
1265,COKE,Coca-Cola Consolidated Inc.,CONSUMER STAPLES,"700,805",NaN,"$348,195,000",0.01
1266,CORT,Corcept Therapeutics Incorporated,HEALTH CARE,"15,424,767",NaN,"$347,366,000",0.01
1267,BOX,Box Inc. Class A,INFORMATION TECHNOLOGY,"11,941,823",NaN,"$347,027,000",0.01
1268,NOVT,Novanta Inc.,INFORMATION TECHNOLOGY,"2,437,833",NaN,"$346,879,000",0.01
1269,PRAA,PRA Group Inc.,FINANCE,"7,673,233",NaN,"$345,909,000",0.01
1270,KAR,KAR Auction Services Inc,INDUSTRIALS,"19,163,080",NaN,"$345,894,000",0.01
1271,ERIE,Erie Indemnity Company,FINANCE,"1,962,026",NaN,"$345,572,000",0.01
1272,DEA,Easterly Government Properties Inc.,REAL ESTATE,"16,331,404",NaN,"$345,246,000",0.01
1273,BPMC,Blueprint Medicines Corporation,HEALTH CARE,"5,383,138",NaN,"$343,876,000",0.01
1274,CTRE,CareTrust REIT Inc.,REAL ESTATE,"17,797,777",NaN,"$343,494,000",0.01
1275,SPXC,SPX Corporation,INDUSTRIALS,"6,946,104",NaN,"$343,207,000",0.01
1276,MRCY,Mercury Systems Inc,INFORMATION TECHNOLOGY,"5,319,487",NaN,"$342,843,000",0.01
1277,CALM,Cal-Maine Foods Inc.,CONSUMER STAPLES,"6,199,712",NaN,"$342,347,000",0.01
1278,NVRO,Nevro Corp.,HEALTH CARE,"4,718,980",NaN,"$341,322,000",0.01
1279,WEN,Wendy's Company (The),CONSUMER DISCRETIONARY,"15,464,530",NaN,"$339,756,000",0.01
1280,LGIH,LGI Homes Inc.,CONSUMER DISCRETIONARY,"3,476,927",NaN,"$339,623,000",0.01
1281,ENS,EnerSys,INDUSTRIALS,"4,550,374",NaN,"$339,322,000",0.01
1282,HOUS,NaN,REAL ESTATE,"21,619,836",NaN,"$338,999,000",0.01
1283,NUVA,NuVasive Inc.,HEALTH CARE,"5,961,825",NaN,"$338,036,000",0.01
1284,GH,Guardant Health Inc.,HEALTH CARE,"5,100,808",NaN,"$337,879,000",0.01
1285,ODP,Office Depot Inc.,CONSUMER DISCRETIONARY,"7,364,507",NaN,"$337,517,000",0.01
1286,CVCO,Cavco Industries Inc.,CONSUMER DISCRETIONARY,"1,397,753",NaN,"$336,650,000",0.01
1287,VC,Visteon Corporation,CONSUMER DISCRETIONARY,"3,080,234",NaN,"$336,145,000",0.01
1288,PDCO,Patterson Companies Inc.,HEALTH CARE,"10,382,765",NaN,"$336,090,000",0.01
1289,RCM,R1 RCM Inc.,HEALTH CARE,"15,996,721",NaN,"$335,291,272",0.01
1290,SI,NaN,FINANCE,"2,225,537",NaN,"$335,100,000",0.01
1291,PVH,PVH Corp.,CONSUMER DISCRETIONARY,"4,372,213",NaN,"$334,953,000",0.01
1292,FBC,Flagstar Bancorp Inc.,FINANCE,"7,877,246",NaN,"$333,995,000",0.01
1293,TBK,Triumph Bancorp Inc.,FINANCE,"3,545,226",NaN,"$333,320,000",0.01
1294,KBH,KB Home,CONSUMER DISCRETIONARY,"10,272,891",NaN,"$332,637,000",0.01
1295,NVAX,Novavax Inc.,HEALTH CARE,"4,515,805",NaN,"$332,588,000",0.01
1296,DDD,3D Systems Corporation,INDUSTRIALS,"19,931,354",NaN,"$332,454,000",0.01
1297,BLMN,Bloomin' Brands Inc.,CONSUMER STAPLES,"15,152,121",NaN,"$332,436,000",0.01
1298,ATKR,Atkore International Group Inc.,INDUSTRIALS,"3,373,957",NaN,"$332,132,000",0.01
1299,ARI,Apollo Commercial Real Estate Finance Inc,REAL ESTATE,"23,840,404",NaN,"$332,095,000",0.01
1300,POST,Post Holdings Inc.,CONSUMER STAPLES,"4,794,706",NaN,"$332,083,000",0.01
1301,DOX,Amdocs Limited,INFORMATION TECHNOLOGY,"4,034,772",NaN,"$331,697,000",0.01
1302,LANC,Lancaster Colony Corporation,CONSUMER STAPLES,"2,218,790",NaN,"$330,934,000",0.01
1303,IRTC,iRhythm Technologies Inc.,HEALTH CARE,"2,093,147",NaN,"$329,607,000",0.01
1304,MSTR,MicroStrategy Incorporated,INFORMATION TECHNOLOGY,"677,338",NaN,"$329,403,000",0.01
1305,TWO,Two Harbors Investment Corp,REAL ESTATE,"59,458,398",NaN,"$328,804,000",0.01
1306,AMZN(CALL),NaN,CONSUMER DISCRETIONARY,"2,016,000",NaN,"$328,604,000",0.01
1307,WGO,Winnebago Industries Inc.,CONSUMER DISCRETIONARY,"6,078,468",NaN,"$328,419,000",0.01
1308,ARCB,ArcBest Corporation,TRANSPORTS,"4,075,747",NaN,"$328,098,000",0.01
1309,CVLT,Commvault Systems Inc.,INFORMATION TECHNOLOGY,"4,940,668",NaN,"$327,813,000",0.01
1310,PIPR,NaN,FINANCE,"2,494,228",NaN,"$327,369,000",0.01
1311,CRS,Carpenter Technology Corporation,MATERIALS,"7,782,992",NaN,"$326,730,000",0.01
1312,AEO,American Eagle Outfitters Inc.,CONSUMER DISCRETIONARY,"19,397,254",NaN,"$325,874,000",0.01
1313,HLI,Houlihan Lokey Inc. Class A,FINANCE,"3,707,014",NaN,"$325,476,000",0.01
1314,TTGT,TechTarget Inc.,INFORMATION TECHNOLOGY,"4,000,348",NaN,"$325,147,000",0.01
1315,CNK,Cinemark Holdings Inc Inc.,COMMUNICATIONS,"18,805,166",NaN,"$324,952,000",0.01
1316,RDN,Radian Group Inc.,FINANCE,"14,620,902",NaN,"$324,730,000",0.01
1317,LOPE,Grand Canyon Education Inc.,CONSUMER DISCRETIONARY,"3,375,534",NaN,"$323,949,998",0.01
1318,NPO,EnPro Industries Inc,INDUSTRIALS,"3,313,367",NaN,"$323,814,000",0.01
1319,SLGN,Silgan Holdings Inc.,MATERIALS,"7,001,137",NaN,"$323,661,000",0.01
1320,NXST,Nexstar Media Group Inc.,COMMUNICATIONS,"1,714,944",NaN,"$323,233,000",0.01
1321,IDCC,InterDigital Inc.,INFORMATION TECHNOLOGY,"5,062,702",NaN,"$322,999,000",0.01
1322,TCBI,Texas Capital Bancshares Inc.,FINANCE,"5,626,990",NaN,"$322,483,000",0.01
1323,OI,Owens-Illinois Inc.,MATERIALS,"24,442,703",NaN,"$322,156,000",0.01
1324,CAKE,The Cheesecake Factory Incorporated,CONSUMER DISCRETIONARY,"8,061,707",NaN,"$320,773,000",0.01
1325,USFD,US Foods Holding Corp.,CONSUMER DISCRETIONARY,"8,518,973",NaN,"$320,568,000",0.01
1326,TRTN,Triton International Limited,INDUSTRIALS,"4,567,586",NaN,"$320,554,000",0.01
1327,IBP,Installed Building Products Inc.,INDUSTRIALS,"3,791,067",NaN,"$320,307,000",0.01
1328,KTB,NaN,CONSUMER DISCRETIONARY,"7,745,645",NaN,"$320,280,000",0.01
1329,FFBC,First Financial Bancorp.,FINANCE,"13,865,375",NaN,"$319,597,000",0.01
1330,CALX,Calix Inc,INFORMATION TECHNOLOGY,"7,446,078",NaN,"$319,511,000",0.01
1331,DBRG,NaN,REAL ESTATE,"44,258,022",NaN,"$318,659,000",0.01
1332,BLKB,Blackbaud Inc.,INFORMATION TECHNOLOGY,"5,320,025",NaN,"$318,510,000",0.01
1333,VSCO,NaN,CONSUMER DISCRETIONARY,"6,199,973",NaN,"$318,431,000",0.01
1334,FLOT,iShares Floating Rate Bond,FINANCE,"6,297,798",NaN,"$318,165,000",0.01
1335,CRI,Carter's Inc.,CONSUMER DISCRETIONARY,"3,454,471",NaN,"$317,777,000",0.01
1336,PLAY,Dave & Buster's Entertainment Inc.,CONSUMER DISCRETIONARY,"6,454,597",NaN,"$316,921,000",0.01
1337,AXTA,Axalta Coating Systems Ltd.,MATERIALS,"12,855,345",NaN,"$315,984,000",0.01
1338,AZEK,NaN,CONSUMER DISCRETIONARY,"12,720,219",NaN,"$315,970,000",0.01
1339,COIN,NaN,INFORMATION TECHNOLOGY,"1,661,454",NaN,"$315,442,000",0.01
1340,APP,NaN,INFORMATION TECHNOLOGY,"5,718,851",NaN,"$314,938,000",0.01
1341,ALEX,Alexander & Baldwin Inc. REIT Holding Company,TRANSPORTS,"13,564,768",NaN,"$314,565,000",0.01
1342,ALTR,Altair Engineering Inc.,INDUSTRIALS,"4,879,144",NaN,"$314,217,000",0.01
1343,SKT,Tanger Factory Outlet Centers Inc.,REAL ESTATE,"18,266,151",NaN,"$313,996,000",0.01
1344,FCFS,FirstCash Inc.,FINANCE,"4,463,414",NaN,"$313,958,000",0.01
1345,TRN,Trinity Industries Inc.,INDUSTRIALS,"9,123,516",NaN,"$313,484,000",0.01
1346,EPC,Edgewell Personal Care Company,INDUSTRIALS,"8,547,943",NaN,"$313,453,000",0.01
1347,IONS,Ionis Pharmaceuticals Inc.,HEALTH CARE,"8,443,843",NaN,"$312,761,000",0.01
1348,MMI,Marcus & Millichap Inc.,REAL ESTATE,"5,931,838",NaN,"$312,489,000",0.01
1349,FSS,Federal Signal Corporation,INDUSTRIALS,"9,248,821",NaN,"$312,147,000",0.01
1350,VSH,Vishay Intertechnology Inc.,INFORMATION TECHNOLOGY,"15,878,864",NaN,"$311,224,000",0.01
1351,BOH,Bank of Hawaii Corporation,FINANCE,"3,703,276",NaN,"$310,779,000",0.01
1352,STAR,iStar Inc.,REAL ESTATE,"13,262,643",NaN,"$310,480,000",0.01
1353,IRWD,Ironwood Pharmaceuticals Inc.,HEALTH CARE,"26,895,097",NaN,"$310,100,468",0.01
1354,RAMP,LiveRamp Holdings Inc.,INFORMATION TECHNOLOGY,"8,288,507",NaN,"$309,907,000",0.01
1355,TDS,Telephone and Data Systems Inc.,UTILITIES AND TELECOMMUNICATIONS,"16,406,814",NaN,"$309,761,000",0.01
1356,VSAT,ViaSat Inc.,INFORMATION TECHNOLOGY,"6,342,218",NaN,"$309,500,000",0.01
1357,NICE,NICE Ltd,INFORMATION TECHNOLOGY,"1,411,286",NaN,"$309,072,000",0.01
1358,SBCF,Seacoast Banking Corporation of Florida,FINANCE,"8,819,313",NaN,"$308,854,000",0.01
1359,CYBR,CyberArk Software Ltd.,INFORMATION TECHNOLOGY,"1,828,253",NaN,"$308,516,000",0.01
1360,IRBT,iRobot Corporation,CONSUMER DISCRETIONARY,"4,861,539",NaN,"$308,222,000",0.01
1361,MD,Mednax Inc.,HEALTH CARE,"13,120,290",NaN,"$308,065,000",0.01
1362,VSTO,Vista Outdoor Inc.,CONSUMER DISCRETIONARY,"8,620,879",NaN,"$307,680,000",0.01
1363,LGND,Ligand Pharmaceuticals Incorporated,HEALTH CARE,"2,733,307",NaN,"$307,469,000",0.01
1364,PSMT,PriceSmart Inc.,CONSUMER STAPLES,"3,892,621",NaN,"$307,011,000",0.01
1365,JACK,Jack In The Box Inc.,CONSUMER DISCRETIONARY,"3,284,343",NaN,"$306,789,000",0.01
1366,DY,Dycom Industries Inc.,INDUSTRIALS,"3,217,821",NaN,"$306,529,000",0.01
1367,CWEN,Clearway Energy Inc. Class C,UTILITIES AND TELECOMMUNICATIONS,"8,386,649",NaN,"$306,196,000",0.01
1368,SAM,Boston Beer Company Inc. (The),CONSUMER STAPLES,"783,547",NaN,"$304,385,000",0.01
1369,VRTV,Veritiv Corporation,MATERIALS,"2,275,710",NaN,"$304,014,000",0.01
1370,ELY,Callaway Golf Company,CONSUMER DISCRETIONARY,"12,939,530",NaN,"$303,044,000",0.01
1371,GPK,Graphic Packaging Holding Company,MATERIALS,"15,105,236",NaN,"$302,709,000",0.01
1372,CBRL,Cracker Barrel Old Country Store Inc.,CONSUMER DISCRETIONARY,"2,549,306",NaN,"$302,682,000",0.01
1373,BL,BlackLine Inc.,INFORMATION TECHNOLOGY,"4,129,591",NaN,"$302,367,000",0.01
1374,AIR,AAR Corp.,INDUSTRIALS,"6,239,962",NaN,"$302,202,000",0.01
1375,APLS,Apellis Pharmaceuticals Inc.,HEALTH CARE,"5,923,920",NaN,"$300,993,000",0.01
1376,IWF,iShares Russell 1000 Growth,FINANCE,"1,081,439",NaN,"$300,241,000",0.01
1377,NAVI,Navient Corporation,FINANCE,"17,582,441",NaN,"$299,605,000",0.01
1378,JOE,St. Joe Company (The),REAL ESTATE,"5,053,700",NaN,"$299,378,000",0.01
1379,BRBR,NaN,,"12,967,658",NaN,"$299,293,000",0.01
1380,PRK,Park National Corporation,FINANCE,"2,274,739",NaN,"$298,858,000",0.01
1381,EQC,Equity Commonwealth of Beneficial Interest,REAL ESTATE,"10,589,084",NaN,"$298,718,000",0.01
1382,TEX,Terex Corporation,INDUSTRIALS,"8,373,481",NaN,"$298,598,000",0.01
1383,MNDT,NaN,INFORMATION TECHNOLOGY,"13,381,476",NaN,"$298,541,000",0.01
1384,NGVT,Ingevity Corporation,MATERIALS,"4,657,366",NaN,"$298,398,000",0.01
1385,B,Barnes Group Inc.,INDUSTRIALS,"7,419,756",NaN,"$298,200,000",0.01
1386,HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc.,REAL ESTATE,"6,275,008",NaN,"$297,624,000",0.01
1387,BERY,Berry Global Group Inc.,HEALTH CARE,"5,134,703",NaN,"$297,607,000",0.01
1388,SMAR,Smartsheet Inc. Class A,INFORMATION TECHNOLOGY,"5,431,966",NaN,"$297,565,000",0.01
1389,HDB,HDFC Bank Limited,FINANCE,"4,838,182",NaN,"$296,725,000",0.01
1390,LNN,Lindsay Corporation,INDUSTRIALS,"1,886,075",NaN,"$296,133,000",0.01
1391,SPT,NaN,INFORMATION TECHNOLOGY,"3,690,719",NaN,"$295,699,000",0.01
1392,BANR,Banner Corporation,FINANCE,"5,045,063",NaN,"$295,288,000",0.01
1393,TSE,Trinseo S.A.,MATERIALS,"6,145,101",NaN,"$294,473,000",0.01
1394,TNET,TriNet Group Inc.,CONSUMER DISCRETIONARY,"2,988,783",NaN,"$293,975,000",0.01
1395,CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,CONSUMER STAPLES,"7,185,903",NaN,"$293,038,000",0.01
1396,MTRN,Materion Corporation,MATERIALS,"3,414,043",NaN,"$292,720,000",0.01
1397,BNL,NaN,REAL ESTATE,"13,438,683",NaN,"$292,693,000",0.01
1398,MORN,Morningstar Inc.,COMMUNICATIONS,"1,069,710",NaN,"$292,213,000",0.01
1399,KW,Kennedy-Wilson Holdings Inc.,REAL ESTATE,"11,972,175",NaN,"$292,003,000",0.01
1400,OSIS,OSI Systems Inc.,INFORMATION TECHNOLOGY,"3,412,013",NaN,"$290,430,000",0.01
1401,XLV,SPDR Select Sector Fund - Health Care,HEALTH CARE,"2,120,078",NaN,"$290,430,000",0.01
1402,GO,NaN,CONSUMER STAPLES,"8,852,693",NaN,"$290,192,000",0.01
1403,AMEH,Apollo Medical Holdings Inc.,HEALTH CARE,"5,986,753",NaN,"$290,177,000",0.01
1404,INT,World Fuel Services Corporation,ENERGY,"10,726,736",NaN,"$290,052,000",0.01
1405,AER,AerCap Holdings N.V.,INDUSTRIALS,"5,767,535",NaN,"$289,992,000",0.01
1406,BPOP,Popular Inc.,FINANCE,"3,542,085",NaN,"$289,530,000",0.01
1407,MLKN,NaN,INDUSTRIALS,"8,353,818",NaN,"$288,708,000",0.01
1408,PLUS,ePlus inc.,INFORMATION TECHNOLOGY,"5,142,241",NaN,"$288,274,000",0.01
1409,DKNG,NaN,FINANCE,"14,798,728",NaN,"$288,131,000",0.01
1410,MSEX,Middlesex Water Company,UTILITIES AND TELECOMMUNICATIONS,"2,735,358",NaN,"$287,676,000",0.01
1411,PMT,PennyMac Mortgage Investment Trust of Beneficial Interest,REAL ESTATE,"17,011,216",NaN,"$287,320,000",0.01
1412,SUPN,Supernus Pharmaceuticals Inc.,HEALTH CARE,"8,889,575",NaN,"$287,311,000",0.01
1413,ESE,ESCO Technologies Inc.,INDUSTRIALS,"4,096,831",NaN,"$286,449,000",0.01
1414,LYFT,NaN,CONSUMER DISCRETIONARY,"16,188,697",NaN,"$286,216,163",0.01
1415,SVC,NaN,REAL ESTATE,"32,357,954",NaN,"$285,719,000",0.01
1416,ANF,Abercrombie & Fitch Company,CONSUMER DISCRETIONARY,"8,923,159",NaN,"$285,451,000",0.01
1417,VRTS,Virtus Investment Partners Inc.,FINANCE,"1,188,513",NaN,"$285,232,000",0.01
1418,GHC,Graham Holdings Company,COMMUNICATIONS,"466,422",NaN,"$285,202,000",0.01
1419,HOPE,Hope Bancorp Inc.,FINANCE,"17,720,919",NaN,"$284,954,000",0.01
1420,LPSN,LivePerson Inc.,COMMUNICATIONS,"11,649,897",NaN,"$284,489,000",0.01
1421,GCP,GCP Applied Technologies Inc.,MATERIALS,"9,050,747",NaN,"$284,374,000",0.01
1422,NMIH,NMI Holdings Inc,FINANCE,"13,781,315",NaN,"$284,172,000",0.01
1423,SIX,Six Flags Entertainment Corporation,COMMUNICATIONS,"6,529,569",NaN,"$284,036,000",0.01
1424,ANDE,The Andersons Inc.,CONSUMER STAPLES,"5,650,640",NaN,"$283,999,000",0.01
1425,BIPC,NaN,TRANSPORTS,"5,644,828.5",NaN,"$283,898,000",0.01
1426,OII,Oceaneering International Inc.,ENERGY,"18,722,241",NaN,"$283,828,000",0.01
1427,WWW,Wolverine World Wide Inc.,CONSUMER DISCRETIONARY,"12,550,056",NaN,"$283,130,000",0.01
1428,APG,NaN,INDUSTRIALS,"13,451,089",NaN,"$282,875,000",0.01
1429,XPER,Xperi Corporation,INFORMATION TECHNOLOGY,"16,329,307",NaN,"$282,826,000",0.01
1430,LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,COMMUNICATIONS,"6,170,942",NaN,"$282,074,000",0.01
1431,VBTX,Veritex Holdings Inc.,FINANCE,"7,377,556",NaN,"$281,602,000",0.01
1432,THS,Treehouse Foods Inc.,CONSUMER STAPLES,"8,713,995",NaN,"$281,113,000",0.01
1433,IPGP,IPG Photonics Corporation,INFORMATION TECHNOLOGY,"2,559,937",NaN,"$280,980,000",0.01
1434,BGS,B&G Foods Inc.,CONSUMER STAPLES,"10,408,608",NaN,"$280,825,000",0.01
1435,CWST,Casella Waste Systems Inc.,INDUSTRIALS,"3,202,707",NaN,"$280,716,000",0.01
1436,LTC,LTC Properties Inc.,REAL ESTATE,"7,296,221",NaN,"$280,687,000",0.01
1437,SUM,Summit Materials Inc. Class A,INDUSTRIALS,"9,032,871",NaN,"$280,561,000",0.01
1438,GNL,Global Net Lease Inc.,REAL ESTATE,"17,834,266",NaN,"$280,532,000",0.01
1439,DAN,Dana Incorporated,CONSUMER DISCRETIONARY,"15,961,313",NaN,"$280,441,000",0.01
1440,GNW,Genworth Financial Inc,FINANCE,"74,167,167",NaN,"$280,352,000",0.01
1441,PBR,Petroleo Brasileiro S.A.- Petrobras,ENERGY,"18,893,869",NaN,"$279,629,000",0.01
1442,KMPR,Kemper Corporation,FINANCE,"4,936,711",NaN,"$279,122,000",0.01
1443,GPRE,Green Plains Inc.,ENERGY,"8,978,072",NaN,"$278,410,000",0.01
1444,LKFN,Lakeland Financial Corporation,FINANCE,"3,807,592",NaN,"$277,953,000",0.01
1445,JWN,Nordstrom Inc.,CONSUMER DISCRETIONARY,"10,234,262",NaN,"$277,451,000",0.01
1446,NUS,Nu Skin Enterprises Inc.,CONSUMER STAPLES,"5,791,181",NaN,"$277,281,000",0.01
1447,FIBK,First Interstate BancSystem Inc.,FINANCE,"8,524,932",NaN,"$277,230,789",0.01
1448,CVET,NaN,INFORMATION TECHNOLOGY,"16,492,880",NaN,"$276,916,000",0.01
1449,TRMK,Trustmark Corporation,FINANCE,"9,101,652",NaN,"$276,599,000",0.01
1450,FATE,Fate Therapeutics Inc.,HEALTH CARE,"7,105,671",NaN,"$275,487,000",0.01
1451,KOS,Kosmos Energy Ltd. (DE),ENERGY,"38,285,739",NaN,"$275,274,000",0.01
1452,HTH,Hilltop Holdings Inc.,REAL ESTATE,"9,350,313",NaN,"$274,899,000",0.01
1453,MYRG,MYR Group Inc.,INDUSTRIALS,"2,922,873",NaN,"$274,868,000",0.01
1454,SPWR,SunPower Corporation,INFORMATION TECHNOLOGY,"12,794,091",NaN,"$274,818,000",0.01
1455,BNTX,NaN,HEALTH CARE,"1,610,975",NaN,"$274,768,000",0.01
1456,RNST,Renasant Corporation,FINANCE,"8,204,998",NaN,"$274,458,000",0.01
1457,KMT,Kennametal Inc.,INDUSTRIALS,"9,588,234",NaN,"$274,320,000",0.01
